RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,12/31/00,12/31/01,12/31/02,12/31/03,12/31/04,12/31/05,12/31/06,12/31/07,12/31/08,12/31/09,12/31/10,12/31/11,12/31/12,12/31/13,12/31/14,12/31/15,12/31/16,12/31/17,11/30/18,11/30/19,12/31/20,12/31/21,12/31/22,12/31/23,12/31/24,12/31/25,4/30/26
1980,2354,Prowers County,county,CO,CO,,8,99,63174.80684,66464.16716,67450.46858,68686.73586,71320.18148,74088.58198,75175.20434,75476.95594,73973.21698,71148.72845,70378.23393,68627.46262,71447.37214,73768.96678,76486.86239,80407.70819,83481.92488,86835.70489,99619.59596,109921.5636,127947.6642,147176.9412,165157.7077,170374.7747,179928.7053,171048.8028,171335.5944
2950,2188,Las Animas County,county,CO,CO,,8,71,94969.34863,102287.19,105292.0207,108419.4566,112992.7905,119379.2705,123557.4142,124411.3072,125103.0856,120668.2457,118182.8829,116219.0285,116075.8549,113543.1136,107769.9723,112671.0077,117822.9724,129077.1763,147948.7092,157566.8436,179625.4935,221979.85,246840.8617,250834.8203,252908.7126,243184.6395,241667.5984
605,1784,Logan County,county,CO,CO,"Sterling, CO",8,75,96623.66561,101274.8517,102803.415,103766.6665,107267.2578,111587.2997,113824.907,114061.4038,114024.1573,111226.5663,108283.9648,106428.2558,108376.8293,112858.6757,118208.4067,127002.9057,137661.4516,148000.1431,159026.4166,170089.3206,190634.5414,217002.5167,237750.2206,237279.3497,245869.1216,250520.0629,252801.9711
1209,2272,Moffat County,county,CO,CO,"Craig, CO",8,81,106609.6003,113669.8345,120383.4581,124252.9946,133059.2177,146056.186,155027.0096,161605.3349,162962.4258,160010.9176,158699.6832,157836.2007,158367.7774,161915.8561,156256.1096,158914.4902,161853.4286,167501.2394,174636.0764,186369.3419,205695.2428,234389.3961,266913.3061,287936.1218,295148.6643,303012.0542,305424.2194
1511,2076,Alamosa County,county,CO,CO,,8,3,113218.6187,120046.7538,124761.2659,126473.0715,131275.6198,138647.2822,143216.8997,145138.9473,145252.2983,142558.9596,138145.5717,137339.6159,143362.6795,148414.6579,152537.5522,157838.594,166645.0702,174827.5429,184752.0435,199234.6785,220661.3204,254091.378,290445.6464,297364.8853,307529.9742,319759.5297,325195.2367
1337,399,Pueblo County,county,CO,CO,"Pueblo, CO",8,101,110944.4747,112829.1728,116480.9845,120847.5466,125185.4012,130441.5543,134689.1061,133810.001,127850.7336,125837.5109,124349.8496,118130.5729,118686.2253,120221.6926,125248.7525,136310.6815,149888.8843,164222.1691,181040.6708,197980.9393,231400.9365,280155.5705,298766.7956,291982.5148,293086.2229,288586.419,287252.2947
3008,2387,Rio Grande County,county,CO,CO,,8,105,117465.2477,122449.468,126696.0282,127151.7664,132462.1567,140425.7554,142398.5465,140540.4327,139160.5378,134914.6371,133779.1822,125231.9092,133958.2768,139380.0536,142237.1351,143498.222,151148.9255,158406.6707,179621.8829,190298.1853,209193.9597,250046.1886,276791.8641,294572.7622,306654.1375,320408.1311,322724.5782
2445,1152,Montrose County,county,CO,CO,"Montrose, CO",8,85,123429.9427,130724.8801,135026.5259,138755.7214,145630.8658,,186005.7304,190234.4926,187321.5007,181354.0357,177132.5236,173382.5175,179201.7577,189037.9707,195451.6464,213075.2621,228037.24,245237.3454,265854.7836,283903.0531,312614.3822,378046.2322,415835.655,424891.0444,442640.9697,452760.0662,456303.5143
2300,871,Garfield County,county,CO,CO,"Glenwood Springs, CO",8,45,130254.4346,139714.9614,147942.9729,150475.3211,156691.1014,172781.6422,198863.9167,233079.874,242311.2192,236270.3333,231247.3923,226791.3547,235720.7796,270620.1974,295719.9643,332060.8912,351895.8274,375014.6427,397730.7257,408140.9628,450069.1557,544684.8129,604356.9397,637868.9373,673309.5534,705605.9342,707436.3665
251,436,Mesa County,county,CO,CO,"Grand Junction, CO",8,77,142732.0727,150759.1682,161106.32,171649.5896,185724.4453,203170.8853,231305.3436,263203.123,253434.932,226600.753,203426.0337,181095.9111,185936.5707,194676.0474,198130.9812,209897.1985,220338.2017,236835.7648,256353.3483,275005.3431,304554.7803,362614.9882,387939.3699,399425.1722,419361.2355,429082.6174,433012.1376
1427,1671,Teller County,county,CO,CO,"Colorado Springs, CO",8,119,152236.9805,159381.7219,164446.827,168061.0116,174328.2491,181177.3299,190602.5885,197528.9303,195089.0945,189301.0521,184868.2553,182149.708,192731.6323,207447.66,214634.1835,232403.7235,252451.8767,280392.2204,309683.4678,326941.8468,373945.5573,447304.3535,477645.4775,485254.6913,500137.0097,485264.625,480584.357
2807,1609,Montezuma County,county,CO,CO,,8,83,155066.7436,161943.6412,164298.93,165741.1529,173982.2061,187718.7493,195313.8277,200550.035,202821.5061,199993.6815,196806.0918,189978.0916,203136.9891,205401.4801,211560.5482,224137.3158,232200.0108,246811.3372,260295.3313,275708.4529,305666.2183,363837.6043,395319.7568,390507.2426,397785.3753,405671.7552,409243.9193
268,2011,Park County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,93,168367.5656,180112.311,187426.903,191553.4547,199095.604,208530.9416,213887.4499,215333.44,212862.2057,204994.4624,200113.1185,192573.7424,203052.3349,215088.7449,227776.4059,253347.5696,278095.6351,309383.5194,334046.0653,355978.8554,394226.4322,487011.5747,520377.3821,539236.0969,540699.2368,528939.8206,523127.2279
1689,89,El Paso County,county,CO,CO,"Colorado Springs, CO",8,41,175584.3803,191848.3275,198059.3436,203736.902,211040.5889,224186.0274,230633.3814,232002.0675,218895.1028,217477.5777,212264.7115,204562.9729,213420.8098,223533.1081,231946.1066,248284.4472,269520.4795,293699.2831,319245.8747,338956.7604,376966.9349,451594.3754,471848.5264,468076.4617,471690.5982,461442.7313,456215.2422
353,139,Adams County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,1,196059.2011,216838.9899,224347.6199,224678.0195,226624.3203,227009.4344,224805.2446,208556.983,187137.9351,185382.4219,184081.0227,176086.7939,189886.2367,210574.8106,238128.5725,278367.4749,310219.2025,338609.3442,362133.1555,375419.797,411422.296,484761.1723,514732.4334,512167.9928,514726.5561,496617.9872,488788.0912
329,220,Weld County,county,CO,CO,"Greeley, CO",8,123,186076.3206,202264.1049,214416.3369,216879.6835,221029.7983,222061.7749,217763.7422,207495.9861,189049.872,182681.3487,179179.6368,174851.1961,193806.4033,213476.8615,243523.0057,281190.715,310069.2155,342514.934,366200.3446,383051.9002,412952.8679,485844.2958,517539.847,506551.2144,513783.1113,502168.8489,497595.3016
2127,104,Arapahoe County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,5,202988.8346,221787.2529,227615.0711,230234.9707,232560.8093,237175.7171,234029.455,226612.9862,212543.7432,207156.9947,202511.6547,193474.7294,216876.4152,242589.0489,266307.7678,307622.3988,338964.8425,366086.5554,388086.9761,401638.9069,436942.0245,513785.9425,544902.9835,544079.546,546909.5196,525816.459,518865.6166
989,96,Denver County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,31,209976.0231,235842.8245,243740.7137,245297.1063,250445.7504,256306.8095,258471.8429,253553.3676,235412.3585,236395.8972,229788.7031,225388.9646,245342.4245,274255.6791,304234.4721,353913.7807,386887.1973,415372.4902,442192.2142,454339.4538,491538.6521,561330.9907,595881.3703,590606.061,583105.64,559044.6589,548893.8304
2313,2044,Gunnison County,county,CO,CO,,8,51,205395.302,222740.9416,232474.6425,238012.0819,249528.0609,266884.1762,277447.529,281618.8214,279399.4435,271355.0518,259112.031,260739.6507,259874.5713,257828.104,283244.4335,320003.2343,338866.7522,366122.5674,403523.6768,441885.2773,488188.4932,617842.5565,663364.793,678011.8133,675905.4435,692978.3968,705806.1113
1849,202,Larimer County,county,CO,CO,"Fort Collins, CO",8,69,211298.3718,233955.2746,243732.6347,246729.4627,253527.2238,256847.1622,257151.6348,260152.5354,245052.9984,243656.8171,240129.786,240604.4667,252040.7565,267686.388,290223.0025,329235.4724,361632.8594,387234.3279,406671.1098,423055.1145,450434.3654,522107.9171,565248.3544,561196.0042,569778.0772,561023.9788,556810.2342
2734,116,Jefferson County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,59,223338.92,244892.6212,253685.033,255720.7442,261743.417,267927.1541,266764.1344,265936.2361,261182.378,259196.8225,253914.364,247285.2851,258726.8621,283996.5682,309878.9326,354853.429,391716.2814,421262.5859,445707.2001,468292.5458,518302.9596,599511.9576,641396.1718,644809.9039,656307.431,640044.6289,631152.439
528,2123,Grand County,county,CO,CO,,8,49,226551.8313,243373.3458,252060.9909,256984.0135,267463.9519,282175.9225,290352.4955,294366.3605,290899.4558,282955.594,275610.1221,269844.6086,278224.1257,284837.7542,292806.6168,312866.2619,339814.1727,387722.2488,439303.9983,480042.6173,546946.3487,717803.8166,770837.7256,750174.3904,760005.4135,751525.1807,750953.2038
699,1654,Routt County,county,CO,CO,"Steamboat Springs, CO",8,107,242399.143,260434.812,271660.8465,277852.0711,291158.487,,326544.9136,376665.5493,396597.4968,385608.2063,373788.4225,364922.0619,377820.8987,398132.2211,409760.6034,438675.2606,474922.0961,509336.7714,546957.8844,577795.8689,655517.0119,871383.1185,993182.4202,1029856.034,1094747.34,1104215.245,1116529.949
1001,1611,Elbert County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,39,246816.9359,263852.0854,273557.4584,278845.5841,290822.9627,304810.8319,309596.579,307569.6491,287249.4822,275331.0139,268195.7861,263124.8074,280165.5353,308184.9119,330790.9113,367636.6132,404403.6508,439130.9229,466258.9811,495092.0208,551528.7408,650146.085,680965.0605,674213.6822,689214.3782,687528.7715,675983.2769
1549,216,Boulder County,county,CO,CO,"Boulder, CO",8,13,265770.7452,298315.5051,301395.0479,296914.7976,304240.0937,314516.8919,317075.992,320722.6045,318660.0064,315579.0166,311588.3223,306765.471,333559.5899,361293.1776,390052.0371,445237.1832,495967.7842,527245.1741,546894.3688,562629.7631,603669.7258,702198.0253,765454.2335,754922.9899,757422.466,735892.9566,728820.6882
